,CIK,Company Name,Form Type,Date Filed,Filename,URL
1201,702165,NORFOLK SOUTHERN CORP,10-K,2017-02-06,edgar/data/702165/0000702165-17-000018.txt,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/nsc1231201610-k.htm
1202,7084,ARCHER DANIELS MIDLAND CO,10-K,2017-02-17,edgar/data/7084/0000007084-17-000008.txt,https://www.sec.gov/Archives/edgar/data/7084/000000708417000008/adm-20161231x10k.htm
1203,70858,BANK OF AMERICA CORP /DE/,10-K,2017-02-23,edgar/data/70858/0000070858-17-000013.txt,https://www.sec.gov/Archives/edgar/data/70858/000007085817000013/bac-1231201610xk.htm
1204,713676,"PNC FINANCIAL SERVICES GROUP, INC.",10-K,2017-02-28,edgar/data/713676/0001193125-17-062524.txt,https://www.sec.gov/Archives/edgar/data/713676/000119312517062524/d300732d10k.htm
1205,715957,DOMINION RESOURCES INC /VA/,10-K,2017-02-28,edgar/data/715957/0001193125-17-060413.txt,https://www.sec.gov/Archives/edgar/data/715957/000119312517060413/d334692d10k.htm
1206,718877,"Activision Blizzard, Inc.",10-K,2017-02-28,edgar/data/718877/0001047469-17-001072.txt,https://www.sec.gov/Archives/edgar/data/718877/000104746917001072/a2230993z10-k.htm
1207,719739,SVB FINANCIAL GROUP,10-K,2017-02-28,edgar/data/719739/0000719739-17-000012.txt,https://www.sec.gov/Archives/edgar/data/719739/000071973917000012/sivb-12312016x10xk.htm
1208,726728,REALTY INCOME CORP,10-K,2017-02-23,edgar/data/726728/0001104659-17-011170.txt,https://www.sec.gov/Archives/edgar/data/726728/000110465917011170/a17-1163_110k.htm
1209,72741,EVERSOURCE ENERGY,10-K,2017-02-23,edgar/data/72741/0000072741-17-000007.txt,https://www.sec.gov/Archives/edgar/data/72741/000007274117000007/a201610kdocument.htm
1210,728535,HUNT J B TRANSPORT SERVICES INC,10-K,2017-02-23,edgar/data/728535/0001437749-17-003083.txt,https://www.sec.gov/Archives/edgar/data/728535/000143774917003083/jbht20161231_10k.htm
1211,72903,XCEL ENERGY INC,10-K,2017-02-24,edgar/data/72903/0000072903-17-000008.txt,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/xcel1231201610-k.htm
1212,72971,WELLS FARGO & COMPANY/MN,10-K,2017-03-01,edgar/data/72971/0000072971-17-000278.txt,https://www.sec.gov/Archives/edgar/data/72971/000007297117000278/wfc-12312016x10k.htm
1213,73124,NORTHERN TRUST CORP,10-K,2017-02-28,edgar/data/73124/0000073124-17-000117.txt,https://www.sec.gov/Archives/edgar/data/73124/000007312417000117/a201610-k.htm
1214,731766,UNITEDHEALTH GROUP INC,10-K,2017-02-08,edgar/data/731766/0000731766-17-000009.txt,https://www.sec.gov/Archives/edgar/data/731766/000073176617000009/unh2016123110-k.htm
1215,732712,VERIZON COMMUNICATIONS INC,10-K,2017-02-21,edgar/data/732712/0001193125-17-050292.txt,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/d296602d10k.htm
1216,732717,AT&T INC.,10-K,2017-02-17,edgar/data/732717/0000732717-17-000021.txt,https://www.sec.gov/Archives/edgar/data/732717/000073271717000021/ye16_10k.htm
1217,73309,NUCOR CORP,10-K,2017-02-28,edgar/data/73309/0001193125-17-062124.txt,https://www.sec.gov/Archives/edgar/data/73309/000119312517062124/d298801d10k.htm
1218,740260,VENTAS INC,10-K,2017-02-14,edgar/data/740260/0000740260-17-000056.txt,https://www.sec.gov/Archives/edgar/data/740260/000074026017000056/vtr-20161231x10k.htm
1219,74208,"UDR, Inc.",10-K,2017-02-21,edgar/data/74208/0000074208-17-000030.txt,https://www.sec.gov/Archives/edgar/data/74208/000007420817000030/a201610-k.htm
1220,745732,ROSS STORES INC,10-K,2017-03-28,edgar/data/745732/0000745732-17-000009.txt,https://www.sec.gov/Archives/edgar/data/745732/000074573217000009/rost-20170128x10k.htm
1221,746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,10-K,2017-02-23,edgar/data/746515/0000746515-17-000007.txt,https://www.sec.gov/Archives/edgar/data/746515/000074651517000007/a201610-k.htm
1222,749251,GARTNER INC,10-K,2017-02-22,edgar/data/749251/0000749251-17-000005.txt,https://www.sec.gov/Archives/edgar/data/749251/000074925117000005/it-12312016x10k.htm
1223,753308,NEXTERA ENERGY INC,10-K,2017-02-23,edgar/data/753308/0000753308-17-000060.txt,https://www.sec.gov/Archives/edgar/data/753308/000075330817000060/nee-12312016x10k.htm
