,sustainability,sustainable,renewable,climate change,green energy,carbon neutral,greening,clean energy,esg,greenhouse gas,recycle,circular economy,zero emissions,environmentally friendly,URL
71,0,4,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1108524/000110852415000008/crm-2015131x10k.htm
72,2,2,95,37,0,0,0,0,0,9,0,0,1,0,https://www.sec.gov/Archives/edgar/data/1109357/000119312515049964/d858551d10k.htm
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1110803/000111080315000064/fy1410-k.htm
74,0,0,0,4,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1111711/000111171115000008/ni-20141231x10k.htm
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1111928/000111192815000040/ipgp-20141231x10k.htm
76,0,2,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1113169/000111316915000007/a201410k.htm
77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1120193/000112019315000003/ndaq-20141231x10k.htm
78,0,0,1,2,0,0,0,0,0,5,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1121788/000114420415010586/v400231_10k.htm
79,0,0,1,4,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1126328/000104746915000727/a2222934z10-k.htm
80,0,0,2,11,0,0,0,2,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1130310/000113031015000008/cnp_10kx12312014.htm
81,1,0,0,1,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1133421/000113342115000008/noc-12312014x10k.htm
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/d842425d10k.htm
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1136893/000113689315000006/a10-k2014.htm
84,1,1,4,3,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1137774/000119312515056366/d864090d10k.htm
